[2026-05-14 02:00:00.184] [37016433] [INFO] [L3701643319T20260514020000183R16035] [数据交互|收到设备控制服务数据] |25车道--外设控制服务输入信息(ETC交易受理E1)为FFFF007000000196E10037016433190000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000405636413701085600047965C9BDB6AB370100011651202604012036040110200100000000000000000004C2B34242383336313500000000040B00176B080C08660007760008C50010BD024C56424A334A3056375345303434353636B8A3CCEFC5C6424A3130343545564A41FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFFC7676C9BDB6AB370100011751370125052361000538362026040120360401C2B34242383336313500000000040BAA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FF0000104900AA290037011011046A04A90C0B013D730A6A04BB67C2B34242383336313500000004020014B4FFC9BDB6AB370100011751370125052361000538360001001328001049000A018092000000000013280A001049D3319D176F137BB5000000220000002200017786951999220101000000000000000000290B
[2026-05-14 02:00:58.416] [37016433] [INFO] [L370164335FT20260514020058416R16328] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020058416.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089592"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:00:58"}
[2026-05-14 02:00:58.418] [37016433] [INFO] [L370164335FT20260514020058416R16328] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020058417.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089592\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:00:58.417\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:03.419] [37016433] [INFO] [L370164335FT20260514020103419R16351] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020103419.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089593","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:03"}
[2026-05-14 02:01:03.423] [37016433] [INFO] [L370164335FT20260514020103419R16351] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020103423.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:03.423\",\"msgId\":\"370164335F2026051402089593\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:03.423] [37016433] [INFO] [L370164335FT20260514020103423R16352] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020103423.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089594"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:03"}
[2026-05-14 02:01:03.425] [37016433] [INFO] [L370164335FT20260514020103423R16352] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020103424.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:03.424\",\"msgId\":\"370164335F2026051402089594\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:03.426] [37016433] [INFO] [L370164335FT20260514020103425R16353] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020103426.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089595"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:03"}
[2026-05-14 02:01:03.428] [37016433] [INFO] [L370164335FT20260514020103425R16353] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020103427.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089595\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:03.427\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:08.429] [37016433] [INFO] [L370164335FT20260514020108429R16373] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020108429.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089596","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:08"}
[2026-05-14 02:01:08.432] [37016433] [INFO] [L370164335FT20260514020108429R16373] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020108432.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:08.432\",\"msgId\":\"370164335F2026051402089596\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:08.432] [37016433] [INFO] [L370164335FT20260514020108432R16374] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020108432.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089597"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:08"}
[2026-05-14 02:01:08.435] [37016433] [INFO] [L370164335FT20260514020108432R16374] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020108434.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:08.434\",\"msgId\":\"370164335F2026051402089597\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:08.436] [37016433] [INFO] [L370164335FT20260514020108436R16375] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020108436.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089598"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:08"}
[2026-05-14 02:01:08.438] [37016433] [INFO] [L370164335FT20260514020108436R16375] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020108437.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089598\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:08.437\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:08.663] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/Cvicse/LaneStatusUpdate】,QOS 【2】, 内容:{"laneType":2,"msgId":"2026051402000001","sendTime":"2026-05-14T02:01:08"}
[2026-05-14 02:01:13.439] [37016433] [INFO] [L370164335FT20260514020113439R16398] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020113439.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089599","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:13"}
[2026-05-14 02:01:13.442] [37016433] [INFO] [L370164335FT20260514020113439R16398] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020113441.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:13.441\",\"msgId\":\"370164335F2026051402089599\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:13.442] [37016433] [INFO] [L370164335FT20260514020113442R16399] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020113442.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089600"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:13"}
[2026-05-14 02:01:13.445] [37016433] [INFO] [L370164335FT20260514020113442R16399] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020113444.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:13.444\",\"msgId\":\"370164335F2026051402089600\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:13.446] [37016433] [INFO] [L370164335FT20260514020113446R16400] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020113446.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089601"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:13"}
[2026-05-14 02:01:13.449] [37016433] [INFO] [L370164335FT20260514020113446R16400] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020113449.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089601\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:13.449\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:18.449] [37016433] [INFO] [L370164335FT20260514020118449R16420] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020118449.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089602","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:18"}
[2026-05-14 02:01:18.453] [37016433] [INFO] [L370164335FT20260514020118449R16420] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020118451.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:18.451\",\"msgId\":\"370164335F2026051402089602\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:18.453] [37016433] [INFO] [L370164335FT20260514020118453R16421] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020118453.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089603"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:18"}
[2026-05-14 02:01:18.456] [37016433] [INFO] [L370164335FT20260514020118453R16421] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020118455.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:18.455\",\"msgId\":\"370164335F2026051402089603\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:18.456] [37016433] [INFO] [L370164335FT20260514020118456R16422] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020118456.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089604"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:18"}
[2026-05-14 02:01:18.459] [37016433] [INFO] [L370164335FT20260514020118456R16422] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020118459.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089604\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:18.459\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:23.459] [37016433] [INFO] [L370164335FT20260514020123459R16445] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020123459.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089605","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:23"}
[2026-05-14 02:01:23.462] [37016433] [INFO] [L370164335FT20260514020123459R16445] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020123461.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:23.461\",\"msgId\":\"370164335F2026051402089605\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:23.463] [37016433] [INFO] [L370164335FT20260514020123463R16446] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020123463.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089606"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:23"}
[2026-05-14 02:01:23.466] [37016433] [INFO] [L370164335FT20260514020123463R16446] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020123465.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:23.465\",\"msgId\":\"370164335F2026051402089606\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:23.466] [37016433] [INFO] [L370164335FT20260514020123466R16447] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020123466.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089607"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:23"}
[2026-05-14 02:01:23.469] [37016433] [INFO] [L370164335FT20260514020123466R16447] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020123469.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089607\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:23.469\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:28.470] [37016433] [INFO] [L370164335FT20260514020128469R16467] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020128469.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089608","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:28"}
[2026-05-14 02:01:28.472] [37016433] [INFO] [L370164335FT20260514020128469R16467] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020128471.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:28.471\",\"msgId\":\"370164335F2026051402089608\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:28.473] [37016433] [INFO] [L370164335FT20260514020128473R16468] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020128473.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089609"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:28"}
[2026-05-14 02:01:28.475] [37016433] [INFO] [L370164335FT20260514020128473R16468] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020128474.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:28.474\",\"msgId\":\"370164335F2026051402089609\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:28.475] [37016433] [INFO] [L370164335FT20260514020128475R16469] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020128475.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089610"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:28"}
[2026-05-14 02:01:28.478] [37016433] [INFO] [L370164335FT20260514020128475R16469] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020128478.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089610\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:28.478\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:33.479] [37016433] [INFO] [L370164335FT20260514020133479R16492] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020133479.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089611","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:33"}
[2026-05-14 02:01:33.483] [37016433] [INFO] [L370164335FT20260514020133479R16492] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020133482.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:33.482\",\"msgId\":\"370164335F2026051402089611\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:33.483] [37016433] [INFO] [L370164335FT20260514020133483R16493] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020133483.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089612"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:33"}
[2026-05-14 02:01:33.486] [37016433] [INFO] [L370164335FT20260514020133483R16493] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020133485.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:33.485\",\"msgId\":\"370164335F2026051402089612\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:33.486] [37016433] [INFO] [L370164335FT20260514020133486R16494] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020133486.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089613"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:33"}
[2026-05-14 02:01:33.489] [37016433] [INFO] [L370164335FT20260514020133486R16494] [数据交互|收到名单服务数据] |查询机构信息 响应：{"filename":"BASIC_ORG_LIST_RES_370164335F_20260514020133489.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"370164335F2026051402089613\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 02:01:33.489\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:38.490] [37016433] [INFO] [L370164335FT20260514020138490R16514] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_370164335F_20260514020138490.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089614","hex":"370164335F","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:38"}
[2026-05-14 02:01:38.493] [37016433] [INFO] [L370164335FT20260514020138490R16514] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_370164335F_20260514020138492.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"370164335F\",\"tollLaneId\":\"G00153700500302020950\",\"receiveTime\":\"2026-05-14T02:01:38.492\",\"msgId\":\"370164335F2026051402089614\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:38.493] [37016433] [INFO] [L370164335FT20260514020138493R16515] [数据交互|发送名单服务数据] |查询班次信息 请求：{"filename":"DUTYSHIFT_LIST_REQ_370164335F_20260514020138493.json","sign":"NONE","bizContent":{"msgId":"370164335F2026051402089615"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:38"}
[2026-05-14 02:01:38.496] [37016433] [INFO] [L370164335FT20260514020138493R16515] [数据交互|收到名单服务数据] |查询班次信息 响应：{"filename":"DUTYSHIFT_LIST_RES_370164335F_20260514020138495.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"lDate\":\"2026-05-13\",\"groupCount\":\"第三班\",\"shiftCount\":\"06\",\"activeDate\":\"2010/06/15\",\"shiftTime\":\"20260513180000,20260514060000\",\"receiveTime\":\"2026-05-14T02:01:38.495\",\"msgId\":\"370164335F2026051402089615\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 02:01:38.496] [37016433] [INFO] [L370164335FT20260514020138496R16516] [数据交互|发送名单服务数据] |查询机构信息 请求：{"filename":"BASIC_ORG_LIST_REQ_370164335F_20260514020138496.json","sign":"NONE","bizContent":{"orgType":1,"auth":"cvicse","orgCode":"500303","msgId":"370164335F2026051402089616"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T02:01:38"}
