[2026-05-14 00:00:02.559] [37016433] [INFO] [L3701643351T20260514000002559R85805] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_3701643351_20260514000002559.json","sign":"NONE","bizContent":{"msgId":"37016433512026051400088851","hex":"3701643351","type":2},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:00:02"}
[2026-05-14 00:16:47.570] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/370164335B/Push/TransShare】,QOS 【0】, 内容:{"axleInfo":"","axleType":null,"cardBalance":null,"cardId":"1904230142110229","cardType":"23","desc":"","deviceType":1,"enTime":"2026-05-14T00:01:40","enTollStationHex":"37016431","enTollStationId":"G0015370050010","enTollStationName":"山东沈海胶州站","enWeight":9400,"exWeight":null,"exitFeeType":1,"fee":1475,"feeAxleCount":2,"feeVehicleId":"鲁UL3891_1","feeVehicleType":12,"identifyAxleCount":0,"identifyVehicleId":"null_null","identifyVehicleType":0,"isAllowPass":null,"laneHid":91,"laneType":4,"limitWeight":null,"mediaType":1,"msgId":"370164335B2026051400088930","obuEF01Axle":null,"obuEf04":"AA290037016431036A04A0640C013C72096A04A0C7C2B3554C333839310000000001020024B8FFC9BDB6AB3701000117403701190423014211022900010000B600009B000200077F000000000000B60200009B226EDC70C3F3FD43","obuId":"3701182050748891","obuMac":"67DA0568","obuVehicleType":12,"option":0,"overRate":null,"overWeight":null,"passId":"013701190423014211022920260514000140","payFee":1735,"permittedWeight":0,"provinceCount":1,"remoteCheck":0,"rsuId":1,"sendTime":"2026-05-14T00:16:47","spare1":"1","spare2":"0","spare3":"","spare4":null,"specialType":"","tollLaneHex":"370164335B","tradeId":"G001537005003020209102026051400164770","transStatus":0,"transTime":"2026-05-14T00:16:47","transType":0,"vId":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehTypeDataAxle":null,"vehicleSign":"0xff","vehicleUserType":0,"weightAxleCount":null,"weightTime":null,"weightVehicleType":null}
[2026-05-14 00:16:47.581] [37016433] [INFO] [L0000000000T20260423155201467R00016] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/370164335B/Push/STDevctl/QRCode】：{"QRcode":"iVBORw0KGgoAAAANSUhEUgAAASwAAAEsAQAAAABRBrPYAAAD/ElEQVR4Xu2ZQY7qQAxEjVhkyRFyE3IxJCJxMbhJjsAyCzT+9apDZoY/i/mr70j0IkqnqxfGZbtsIn+z7vH65cf1hr2sN+xl/QNsjIjDo+/yfp7m3f0U+fHc5ofOYigPuyTfYx4yp7w9H7p6mbqPQ+a8AdgUR33K62Hs4xin6GSfLNV9wUbubwOWejwidvdz6gL24bvjpmDmlk3jQi+YmbcNGHwb8Y6ctdN23olv3TUM+07LojCZRnjMkO6vh86+JocfEBVgXi1kQgEvSxU3DplJCK/qMO1CPumuB/x0D/iWvJ30pt0mYPq0BybSmWBY2grJTRxcI6suLBNL7RgunLOjfOjWQyGjCyvf6sJUJZKSd4x9zkEWlsd6YcXBG6l4cVZh2NhoJZ+A0Fa3VNMjzpO3i6WVYfJJwjczz+aKapQPSSkOFr5VhiUukoDCbS7i0iH7Sd/GXuXjwkF12EiE74HLUjxG0Wi5t4Nvi6WVYeReLVulQHlEt0op822xtDLMYunRK8KD3GtL4VsS9cmF8jB1QVdyL/XCRQNz+5luqVnfLK0MM632KHE7RpZG45tSGHzbAOxBP+Qwd70Q867W5EmXAXYDMF5UL3Z8H0S6dItNJU8i6Mm30jCZdoFvlAoKCQjzjSy8OqswjKiXi+gj0o/8LIjDJ98qw1ruXUhnTa6CmEF/6rUBmFW3Zxz7iUyFucpZSfkYSAJDeZgi/EjAX5F/hL5bbJkoOc7BYmlpGHHNgIDhjE1ztNAosd0CjAiXn5RnEy0bLG3Ft563Z8hUhtk7NkiBQoPBzMkK0Qf5bO5qw47u67DKg44BxAARkehzfdhIE+2qvcS/LeUC0+PLmqILwy5MBC5OVwjBRFTplrulW36R7nVhI+pDPoF08K1ZOrt82IuLswrDMptPlHsJj4R5Z49eHTdrcigMoyniwRuqNt1i+8+gb4qrMCzZecAnGAlYhlvfJungBKI6jO6BZsKH5N6k10MIEjLksfIwzyhl300lz8yTkXYbNYScsP4gZWHkWUZkyyEZt4W+3865OKsyTCkW2WQ12DEAh28tcfmx/iCVYTJybKrWUsqWBn7S4Re+1YWpiKNg/V+imyLGGxSSEyJXbnv6tC7sOT12waac8xdpn5RGuy3rwyCYI4N6AZb/sxgaKIwCfbsFWEKrRH0s/an85Fui2ictC8NkGizTY6TuOW7ENzioMBpXWhaGNSPD2qmDeW4mrMll5DZgk4cB0ZrUZVZDz9pmNduBOdbDglYRpGgZmkCxyN0EDM3B1DWpewjBYFbjPLYFGHxLgluiKk21VjSY32D44qzCsFFGHZiYrX9D2E8I2o5YyvqwX6w37GW9YS/r/8D+AIBrhZzRgb91AAAAAElFTkSuQmCC","msgId":"370164335B2026051400088932","plateColor":1,"plateNum":"鲁UL3891","sendTime":"2026-05-14T00:16:47","vehTransInfo":"鲁UL3891_1|G0015370050010|G0015370050030|9400|0|1|G001537005003020209102026051400164770|013701190423014211022920260514000140|2026-05-14T00:16:47|1|1475|1735|0xff|1"}
[2026-05-14 00:16:48.963] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/370164335B/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"370164335B2026051400313086","picFlag":1,"picId":"G0015370050030202091020260514000001","picTime":"2026-05-14T00:16:46","plateColor":1,"plateNum":"鲁UL3891","pushTime":"2026-05-14T00:16:48","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 00:16:49.745] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260513230007","axleTime":"2026-05-13T23:33:53","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"1","msgId":"37016433022026051400295800","picId":null,"plateColor":0,"plateNum":"鲁A5P879","pushTime":"2026-05-14T00:16:49","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1811,"vehicleLength":5219,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":33,"vehicleWheelBase":"3300","vehicleWidth":1760}
[2026-05-14 00:16:52.467] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433022026051400295801","picFlag":1,"picId":"G0015370050030101002020260514000003","picTime":"2026-05-14T00:16:52","plateColor":0,"plateNum":"鲁A5P879","pushTime":"2026-05-14T00:16:52","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 00:18:10.131] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 00:20:10.132] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 00:20:10.995] [37016433] [INFO] [L3701643300T20260514002010995R90881] [定时任务] |清理过期的ETC交易共享数据：370164335B_鲁UL3891_1_
[2026-05-14 00:21:48.484] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/Cvicse/LaneStatusUpdate】,QOS 【2】, 内容:{"laneType":2,"msgId":"2026051400000011","sendTime":"2026-05-14T00:21:48"}
[2026-05-14 00:22:01.544] [37016433] [INFO] [系统信息|硬件信息] |总内存：0.408203125G
[2026-05-14 00:22:01.544] [37016433] [INFO] [系统信息|硬件信息] |最大可用内存：1.0G
[2026-05-14 00:22:01.544] [37016433] [INFO] [系统信息|硬件信息] |可使用的内存：0.30276060104370117G
[2026-05-14 00:22:01.544] [37016433] [INFO] [系统信息|硬件信息] |已使用内存:0.10544252395629883G
[2026-05-14 00:22:02.312] [37016433] [INFO] [L3701643300T20260514002202312R91336] [定时任务] |外设控制服务心跳检测开始...
[2026-05-14 00:22:02.312] [37016433] [INFO] [L3701643300T20260514002202312R91337] [定时任务] |外设控制服务上线检测开始...
[2026-05-14 00:22:04.474] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |车辆交易数据过期检测开始...
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |清理过期的ETC车道车辆交易数据：69F8DC45
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |清理过期的ETC车道车辆交易数据：221C14B6
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |清理过期的ETC车道车辆交易数据：66DD9736
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |特情车辆交易数据过期检测开始...
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |清理过期的匝道车辆交易数据：69F8DC45
[2026-05-14 00:22:04.475] [37016433] [INFO] [L3701643300T20260514002204474R91351] [定时任务] |清理过期的匝道车辆交易数据：66DD9736
[2026-05-14 00:22:10.132] [37016433] [INFO] [系统信息|服务信息] |服务正常:18.1.1.1
[2026-05-14 00:22:10.363] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |MQTT来源数据过期检测开始...
[2026-05-14 00:22:10.363] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_辽AET331_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643302_鲁DK909Q_0
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643318_鲁BF0107_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643318_鲁GP0517_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643351_鲁BLH567_0
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_鲁MAS697_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643302_鲁UM0201_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643302_苏CPU755_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643302_鲁UV0267_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_鲁FDZ701_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643302_鲁N062RY_0
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_鲁BJ0775_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_鲁VP0013_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：370164335F__9
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643318_冀B9PV38_0
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_苏MAE412_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的牌识数据：3701643319_鲁UV0267_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_苏CPU755_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁UV0267_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643319_辽AET331_1
[2026-05-14 00:22:10.364] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁A5P879_0
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁DK909Q_0
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁N062RY_0
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643318_鲁BF0107_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643318_鲁GP0517_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁HS6Y26_0
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643319_鲁VP0013_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643302_鲁UM0201_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的车轴型数据：3701643319_鲁UV0267_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：鲁MAS697_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：鲁FDZ701_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：鲁UV0267_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：苏MAE412_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：鲁BJ0775_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：冀B9PV38_0
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：辽AET331_1
[2026-05-14 00:22:10.365] [37016433] [INFO] [L3701643300T20260514002210363R91379] [定时任务] |清理过期的匝道交易共享数据：鲁BF0107_1
[2026-05-14 00:22:29.986] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260513230008","axleTime":"2026-05-13T23:39:31","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"12","msgId":"37016433022026051400295851","picId":null,"plateColor":1,"plateNum":"鲁UH6215","pushTime":"2026-05-14T00:22:29","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000012","vehicleColor":0,"vehicleHeigth":2620,"vehicleLength":13450,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":22,"vehicleWheelBase":"7829","vehicleWidth":1780}
[2026-05-14 00:22:32.819] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Vlpr】,QOS 【0】, 内容:{"faceFeatureCode":"0000","msgId":"37016433022026051400295853","picFlag":1,"picId":"G0015370050030101002020260514000004","picTime":"2026-05-14T00:22:32","plateColor":1,"plateNum":"鲁UH6215","pushTime":"2026-05-14T00:22:32","reliability":96,"vehFeatureCode":"0000","vehicleColor":0,"vehicleModel":"0000","vehicleSpeed":0,"vprNo":null}
[2026-05-14 00:22:32.945] [37016433] [INFO] [L3701643302T20260514002232945R91478] [数据交互|收到设备控制服务数据] |02车道--外设控制服务输入信息(ETC交易受理E1)为FFFF005000000196E100370164330200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006CD2187D3701014424294929C9BDB6AB370100011640202501042035010410200100000000000000000000C2B35548363231350000000000010C00271009F60F6E000000001AB8003E8002000000000000000015FBF59DC05006460900000000000000000081550EFB351681FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFEFCA12C9BDB6AB370100011740370123042323676314192025010420350104C2B35548363231350000000000010CAA2900370164335B6A03C3A00C043D730B6A03C3A0C2B3554836323135000000000102FFFFFFFF0000072F00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000177868935284201000000000000000000004070
[2026-05-14 00:22:32.945] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|车辆交易数据处理] |02车道交易受理--解析交易受理请求成功，开始处理
[2026-05-14 00:22:32.947] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|发送名单服务数据] |查询全网车道-收费站信息 请求：{"filename":"BASIC_LANE_STATION_LIST_REQ_3701643302_20260514002232947.json","sign":"NONE","bizContent":{"msgId":"37016433022026051400088933","hex":"37016433","type":1},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:22:32"}
[2026-05-14 00:22:32.951] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|收到名单服务数据] |查询全网车道-收费站信息 响应：{"filename":"BASIC_LANE_STATION_LIST_RES_3701643302_20260514002232951.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"stationHex\":\"37016433\",\"stationId\":\"G0015370050030\",\"stationName\":\"山东王台站\",\"tollLaneHex\":\"3701643301\",\"tollLaneId\":\"G00153700500301010010\",\"receiveTime\":\"2026-05-14T00:22:32.951\",\"msgId\":\"37016433022026051400088933\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:22:32.951] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [OBU信息|系统信息] |收到OBU信息，标签号：6CD2187D；OBU序列号：3701014424294929；启用时间：20250104；到期时间：20350104；发行方：山东37010001；OBU状态：00100000
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [OBU信息|车辆信息] |收到OBU车辆信息，车牌号：鲁UH6215；车牌颜色：1；车型：12；车辆用户类型：0；核载质量：0；整备质量：6840；车辆总重：16000；核载人数：2
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [ETC卡信息|0002] |卡内余额：4293904914
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [ETC卡信息|0015] |发行方：山东37010001；卡片类型：23；卡片版本：40；卡片网络号：3701；卡号：2304232367631419；启用时间：20250104；到期时间：20350104；用户类型：0；车牌号：鲁UH6215；车牌颜色：1；车型：12
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [ETC卡信息|0019] |通行路网号：3701；通行收费站：6433；通行车道：5B；通行时间：2026-05-13 08:19:44；通行车型：12；通行状态：04；通行门架编号：3D730B；通行门架时间：2026-05-13 08:19:44；车牌号：鲁UH6215；车牌颜色：1；货车轴数：2；货车总重：0；车辆状态标识：FF 
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|车辆交易数据处理] |02车道MTC入口交易受理--车辆鲁UH6215开始进行校验
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询车辆是否重复交易 本车道类型：7；本站HEX：37016433；上次通行状态：04；上次通行站HEX：37016433； 非重复交易
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询标签是否插卡 OBU卡存在状态位：0；卡存在
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询标签是否低电量 OBU电池状态位位：0；电池正常
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询标签是否锁定 OBU锁定状态位：0；未锁定
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询OBU发行期是否过期 启用日期：2025-01-04 00:00:00；结束日期：2035-01-04 00:00:00；在有效期内
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询车型是否合规 车型：12；合规
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询OBU发行方是否有效 发行方省份：山东；发行方有效
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询车辆状态名单 网络编号:3701；标签号：3701014424294929；卡号：2304232367631419；车牌号：鲁UH6215；车牌颜色：1
[2026-05-14 00:22:32.952] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|发送名单服务数据] |查询全国名单服务信息 请求：{"filename":"BASIC_LIST_QUERY_REQ_3701643302_20260514002232952.json","sign":"NONE","bizContent":{"msgId":"37016433022026051400088935","info":[{"cardId":"37012304232367631419","obuId":"3701014424294929","queryType":1},{"vehicleId":"鲁UH6215_1","queryType":2},{"cardId":"37012304232367631419","vehicleId":"鲁UH6215_1","queryType":3},{"vehicleId":"鲁UH6215_1","queryType":4},{"vehicleId":"鲁UH6215_1","queryType":5},{"vehicleId":"鲁UH6215_1","queryType":6},{"laneType":7,"vehicleId":"鲁UH6215_1","queryType":7}]},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:22:32"}
[2026-05-14 00:22:32.962] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|收到名单服务数据] |查询全国名单服务信息 响应：{"filename":"BASIC_LIST_QUERY_RES_3701643302_20260514002232953.json","bizContent":"{\"receiveTime\":\"2026-05-14T00:22:32.953\",\"code\":\"1\",\"codeInfo\":\"无记录\",\"msgId\":\"37016433022026051400088935\",\"info\":[{\"queryType\":1,\"status\":0},{\"queryType\":2,\"status\":0},{\"queryType\":3,\"status\":0},{\"queryType\":4,\"status\":0},{\"queryType\":5,\"status\":0},{\"queryType\":6,\"status\":0},{\"queryType\":7,\"status\":0}]}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:22:32.962] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询ETC卡发行期是否过期 启用日期：2025-01-04 00:00:00；结束日期：2035-01-04 00:00:00；在有效期内
[2026-05-14 00:22:32.962] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询ETC卡类型是否合法 卡类型：23；合法
[2026-05-14 00:22:32.962] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|发送名单服务数据] |查询区域编码信息 请求：{"filename":"ISSUER_LIST_REQ_3701643302_20260514002232962.json","sign":"NONE","bizContent":{"issuerNet":"3701","msgId":"37016433022026051400088936"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:22:32"}
[2026-05-14 00:22:32.965] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|收到名单服务数据] |查询区域编码信息 响应：{"filename":"ISSUER_LIST_RES_3701643302_20260514002232965.json","bizContent":"{\"code\":0,\"codeInfo\":\"查询成功有记录\",\"issuerInfo\":[{\"issuerId\":\"3701\",\"issuerNet\":\"3701\",\"briefName\":\"山东\",\"fullName\":\"山东\",\"startTime\":\"1900-01-01T00:00:00\",\"endTime\":\"2100-01-01T00:00:00\",\"factor\":\"山东\"}],\"receiveTime\":\"2026-05-14T00:22:32.965\",\"msgId\":\"37016433022026051400088936\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 00:22:32.965] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询ETC卡发行方是否有效 卡网络编号：3701；在区域编码字典中，发行方有效
[2026-05-14 00:22:32.965] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询卡签车牌是否一致 标签内车牌_颜色：鲁UH6215_1；卡内车牌_颜色：鲁UH6215_1；一致
[2026-05-14 00:22:32.965] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询卡签车型是否一致 标签内车型：12；卡内车型：12；一致
[2026-05-14 00:22:32.965] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询卡签发行方是否一致 标签内发行方：山东；卡内发行方：山东；一致
[2026-05-14 00:22:32.966] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询牌识数据 根据3701643302_鲁UH6215_1查询到牌识数据：VlprInfo(msgId=37016433022026051400295853, pushTime=2026-05-14T00:22:32, picFlag=1, vprNo=null, picId=G0015370050030101002020260514000004, picTime=2026-05-14T00:22:32, plateNum=鲁UH6215, plateColor=1, vehicleSpeed=0, vehicleModel=0000, vehicleColor=0, reliability=96, vehFeatureCode=0000, faceFeatureCode=0000)
[2026-05-14 00:22:32.966] [37016433] [INFO] [L3701643302T20260514002232945R91479] [6CD2187D] [处理流程|有效性判断] |查询车轴型数据 根据3701643302_鲁UH6215_1查询到车轴型数据：AxleInfo(picId=null, msgId=37016433022026051400295851, pushTime=2026-05-14T00:22:29, axleFlag=1, axleNum=20260513230008, axleTime=2026-05-13T23:39:31, identifyType=12, vehicleAxleInfo=000012, vehicleAxleCount=2, vehicleWheelBase=7829, vehicleLength=13450, vehicleWidth=1780, vehicleHeigth=2620, dangerousGoods=0, vehicleSpecial=0, plateNum=鲁UH6215, plateColor=1, vehicleSpeed=22, vehicleModel=0000, vehicleColor=0, reliability=100, vehFeatureCode=0000, faceFeatureCode=0000)
[2026-05-14 00:22:32.966] [37016433] [INFO] [L3701643302T20260514002232945R91479] [数据交互|发送名单服务数据] |查询称重信息 请求：{"filename":"ENREFUSE_LIST_REQ_3701643302_20260514002232966.json","sign":"NONE","bizContent":{"msgId":"37016433022026051400088937","laneFlag":1,"vehicleId":"鲁UH6215_1"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T00:22:32"}
