[2026-05-14 17:00:00.004] [3701643319] [INFO] [L3701643319T20260514165959959R11728] [数据交互|收到RSU数据] |RSU数据：FFFF00800000004A1C0000019E25B63A0637016433190000000000000000000001002FE101B2405F137800C9BDB6AB3701000116513701085600122673202604222036042210800101000000020000024B011871
[2026-05-14 17:00:24.940] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到电动栏杆机模块数据] |电动栏杆机数据：FFFF00100000001F1C0000019E25B70CEE370164331900000000000000000000010004E4010200F791
[2026-05-14 17:00:24.940] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到电动栏杆机模块数据] |抬落杆到位信号上报：RailLocationReport(Hax=E4010200, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=02, barStaus=00, CRC=null)
[2026-05-14 17:00:24.940] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|下发上报确认C1帧] |C1：FFFF00100000001FC10000019E25B737EC37016433190000000000000000E401010004E4010200B5F9
[2026-05-14 17:00:24.943] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到电动栏杆机模块数据] |电动栏杆机/电动道闸数据：FFFF00050000002FB10000019E25B70CEE370164331900000000000000000000010014E401010000000000000000EC00000000000000EE0CF9
[2026-05-14 17:00:24.943] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到电动栏杆机模块数据] |电动栏杆机制响应：RailControlRes(Hex=E401010000000000000000EC00000000000000EE, SEQ=null, LEN=null, deviceType=E4, deviceIndex=01, deviceFuncType=01, ctlState=00, unixTm1=00000000000000EC, unixTm2=00000000000000EE, CRC=null)
[2026-05-14 17:00:24.943] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到电动栏杆机模块数据] |电动栏杆机00(00-落杆 01-抬杆 02-长抬)控制指令执行成功
[2026-05-14 17:00:24.983] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00060000001FB10000019E25B70CF4370164331900000000000000000000010004E60101000BAB
[2026-05-14 17:00:24.983] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到通行信号灯模块数据] |通行信号灯数据：FFFF00090000001FB10000019E25B70D03370164331900000000000000000000010004E70101002A27
[2026-05-14 17:00:24.983] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00080000001FB10000019E25B70D01370164331900000000000000000000010004E60101008150
[2026-05-14 17:00:24.983] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00070000001FB10000019E25B70CFA370164331900000000000000000000010004E6010100E56D
[2026-05-14 17:00:24.984] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:24.983] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00020000001FB10000019E25B70D0B370164331900000000000000000000010004E6010100EE7D
[2026-05-14 17:00:24.983] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [ ] [设备信息|E7|通行信号灯|通行信号灯1] |通行信号灯控制成功
[2026-05-14 17:00:24.983] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到报警器模块数据] |报警器数据：FFFF00010000001FB10000019E25B70D04370164331900000000000000000000010004E801010077BF
[2026-05-14 17:00:24.983] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:24.984] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [ ] [设备信息|E8|声光报警器|报警器1] |报警灯控制成功
[2026-05-14 17:00:24.984] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:24.984] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:25.305] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417585563","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:25.357] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"0","msgId":"37016433192026051417585565","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:25.358] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Barrier】：{"code":"0","msgId":"37016433192026051417585566","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:27.857] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Trafficlight】：{"code":"1","msgId":"37016433192026051417585564","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:27.858] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"1","msgId":"37016433192026051417585568","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:27.859] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"1","msgId":"37016433192026051417585569","recvTime":"2026-05-14T17:00:24"}
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |所有socket对象[rsuSocket=Socket[addr=/10.37.244.9,port=36109,localport=9950], vtrSocket=Socket[addr=/10.37.244.9,port=51028,localport=9950], frontVlprSocket=Socket[addr=/10.37.244.9,port=37848,localport=9950], ioSocket=Socket[addr=/10.37.244.9,port=48815,localport=9950], boardSocket=Socket[addr=/10.37.244.9,port=33826,localport=9950]]
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |所有设备上次监控上报0C时间戳[rsuSocket=1778749227405, vtrSocket=1778749228093, frontVlprSocket=1778749226381, ioSocket=1778749225798, boardSocket=1778749226643]
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |当前设备socket标识rsuSocket,当前时间戳1778749228967,上一次监控上报时间戳1778749227405,差值1562
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |当前设备socket标识vtrSocket,当前时间戳1778749228967,上一次监控上报时间戳1778749228093,差值874
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |当前设备socket标识frontVlprSocket,当前时间戳1778749228967,上一次监控上报时间戳1778749226381,差值2586
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |当前设备socket标识ioSocket,当前时间戳1778749228967,上一次监控上报时间戳1778749225798,差值3169
[2026-05-14 17:00:28.967] [3701643319] [INFO] [定时任务] |当前设备socket标识boardSocket,当前时间戳1778749228967,上一次监控上报时间戳1778749226643,差值2324
[2026-05-14 17:00:29.975] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [处理流程|车辆交易数据处理] |定时器开始监测外设控制服务与ETC交易服务心跳状态
[2026-05-14 17:00:29.975] [3701643319] [INFO] [定时任务] |定时任务-清除结束，共清除了0个过期匝道诱导屏车牌信息
[2026-05-14 17:00:30.801] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF0030000000C50C6A058F233701643319000000000000000000000002578200000AE4010000000000000020240530010A0000E4020000000000000020240530010A0000E5060000000000000020240530010A0000E5070000000000000020240530010A0000E5010000000000000020240530010A0000E5020000000000000020240530010A0000E6010000000000000020240530010A0000E7010000000000000020240530010A0000E8010000000000000020240530010A0000F4010000000000000020240530010A00003EBE]
[2026-05-14 17:00:30.801] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF0030000000B5C06A058F2E37016433190000000000000000E4010AE4010000000000000000000000000000E4020000000000000000000000000000E5060000000000000000000000000000E5070000000000000000000000000000E5010000000000000000000000000000E5020000000000000000000000000000E6010000000000000000000000000000E7010000000000000000000000000000E8010000000000000000000000000000F40100000000000000000000000000006BF7
[2026-05-14 17:00:41.120] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到车型识别设备模块数据] |车型识别设备数据：FFFF00200000006B1C0000019E25941854370164331900000000000000000000010050E30101010C0000120219FE2C5907580A6E00000000C2B351363736584B00000000011A0000006400000000202605141600166A05862705010100000C01020000F9010400011002010000000305000534F134
[2026-05-14 17:00:41.120] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [ ] [数据交互|收到车型识别设备模块数据] |车型识别设备结果上报：IdentificationResultReport(Hex=E30101010C0000120219FE2C5907580A6E00000000C2B351363736584B00000000011A0000006400000000202605141600166A05862705010100000C01020000F9010400011002010000000305000534, SEQ=null, LEN=null, deviceType=E3, deviceIndex=01, deviceFuncType=01, axleFlag=01, identifyType=0C, vehicleAxleInfo=000012, vehicleAxleCount=02, vehicleWheelBase=19FE, vehicleLength=2C59, vehicleWidth=0758, vehicleHeigth=0A6E, dangerousGoods=00, vehicleSpecial=000000, licenseCode=C2B351363736584B00000000, licenseColor=01, vehicleSpeed=1A, vehicleModel=0000, vehicleColor=00, reliability=64, vehFeatureCode=0000, faceFeatureCode=0000, axleNum=20260514160016, axleTime=6A058627, axleSize=05, axleType=010100000C01020000F9010400011002010000000305000534, CRC=null)
[2026-05-14 17:00:41.120] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|下发上报确认C1帧] |C1：FFFF00200000001FC10000019E25B7772037016433190000000000000000E301010004E30101001424
[2026-05-14 17:00:41.121] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/Axle】：{"axleFlag":1,"axleNum":"20260514160016","axleTime":"2026-05-14T16:21:59","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"12","msgId":"37016433192026051417296279","picId":null,"plateColor":1,"plateNum":"鲁Q676XK","pushTime":"2026-05-14T17:00:41","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000012","vehicleColor":0,"vehicleHeigth":2670,"vehicleLength":11353,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":26,"vehicleWheelBase":"6654","vehicleWidth":1880}
[2026-05-14 17:00:42.447] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到监控上报0C帧] |设备监控上报0C原始帧-[FFFF00400000004B0C6A058F123701643319000000000000000000006A058F12000001E1010000010201010020231127103C191F010000002137000724E23701020100000046819401000000011B23010001002FD5]
[2026-05-14 17:00:42.448] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|下发监控上报返回C0帧] |设备监控上报返回C0已发送-FFFF004000000025C06A058F3A37016433190000000000000000E10101E10100000000000000000000000000004A43
[2026-05-14 17:00:42.948] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到车辆检测器模块数据] |车辆检测器数据：FFFF00600000001F1C0000019E25B75381370164331900000000000000000000010004E506010104E5
[2026-05-14 17:00:42.948] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [ ] [设备信息|E5|车辆检测器|车检器6] |车检状态:车检器6有信号
[2026-05-14 17:00:42.949] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [处理流程|队列逻辑] |车道hex为:3701643319线圈为:6号,改变后的状态为:true
[2026-05-14 17:00:42.949] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|下发上报确认C1帧] |C1：FFFF00600000001FC10000019E25B77E4537016433190000000000000000E506010004E50601005D1B
[2026-05-14 17:00:42.949] [3701643319] [INFO] [L0000000000T20260423170118665R00002] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Push/DevInfo/VeDetector】：{"index":"06","msgId":"2026051417296280","pushTime":"2026-05-14T17:00:42","status":"1"}
[2026-05-14 17:00:43.001] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417585590","sendTime":"2026-05-14T17:00:41","text":"请放入通行卡或刷ETC卡___"}

[2026-05-14 17:00:43.001] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417585590, sendTime=2026-05-14T17:00:41, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=请放入通行卡或刷ETC卡___)
[2026-05-14 17:00:43.002] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：请放入通行卡或刷ETC卡___
[2026-05-14 17:00:43.002] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000C7EBB7C5C8EBCDA8D0D0BFA8BBF2CBA2455443BFA85F5F5F, 待显示文本:请放入通行卡或刷ETC卡___,发送的hex:FFFF00030000003A1B0000019E25B77E7A37016433190000000000000000E60101001FE6010102000000C7EBB7C5C8EBCDA8D0D0BFA8BBF2CBA2455443BFA85F5F5FF542
[2026-05-14 17:00:43.006] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00030000001FB10000019E25B753BB370164331900000000000000000000010004E60101001B45
[2026-05-14 17:00:43.006] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:43.502] [3701643319] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643319/Reply/STDevctl/Display】：{"code":"0","msgId":"37016433192026051417585590","recvTime":"2026-05-14T17:00:43"}
[2026-05-14 17:00:43.736] [3701643319] [INFO] [L3701643319T20260514170015673R12428] [数据交互|收到RSU数据] |RSU数据：FFFF00700000004A1C0000019E25B6E4C837016433190000000000000000000001002FE101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFDC000001C00142DF
[2026-05-14 17:00:43.736] [3701643319] [INFO] [L3701643319T20260514170043736R12429] [数据交互|收到B2帧] |B2帧原始数据：E101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFDC000001C001
[2026-05-14 17:00:43.736] [3701643319] [INFO] [L3701643319T20260514170043736R12429] [处理流程|帧数据解析] |B2：{"antennaID":"01","bXHex":"E101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFDC000001C001","cRC":null,"contractType":"16","contractVersion":"51","dateofExpire":"20351118","dateofIssue":"20251118","deviceFuncType":"B2","deviceIndex":"01","deviceType":"E1","equitmentCV":"10","errorCode":"00","issuerIdentifier":"山东37010001","lEN":null,"macId":"6CD515A0","oBUPosition":"FFFFFFDC000001C0","oBUPosition_X":"-36","oBUPosition_Y":"448","oBUStatus":"2001","obuStatus_8":"00100000","positionStatus":"01","sEQ":null,"serialNumber":"3701015600087963"}
[2026-05-14 17:00:43.736] [3701643319] [INFO] [L3701643319T20260514170043736R12429] [6CD515A0] [处理流程|有效性判断] |-------车道hex3701643319,6CD515A0车辆队列校验成功-------
[2026-05-14 17:00:43.736] [3701643319] [INFO] [L3701643319T20260514170043736R12429] [数据交互|下发C1帧] |继续交易指令C1的报文已发送:FFFF007000000034C10000019E25B7815837016433190000000000000000E101010019E101C16CD515A037010156000879633701015600087963040097C6
[2026-05-14 17:00:44.250] [3701643319] [INFO] [L3701643319T20260514170043736R12429] [数据交互|收到RSU数据] |RSU数据：FFFF00800000015F1C0000019E25B6E6CA370164331900000000000000000000010144E101B46CD515A0370101560008796301000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000C9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010C000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019400000000000000004913
[2026-05-14 17:00:44.250] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|收到B4帧] |B4帧原始数据：E101B46CD515A0370101560008796301000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000C9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010C00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001940000000000000000
[2026-05-14 17:00:44.251] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [处理流程|帧数据解析] |B4：{"algorithmID":"04","authMode":"00","bXHex":"E101B46CD515A0370101560008796301000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000C9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010C00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001940000000000000000","cPCEF02":null,"cPCEF04":null,"cRC":null,"cardRestMoney":"00000000","cardStatus":"1","cpuCostTm":"0","deviceFuncType":"B4","deviceIndex":"01","deviceType":"E1","eF04CostTm":"0","eF04Info":"00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","eTC0015":{"cardDateOfExpire":"20351118","cardDateOfIssue":"20251118","cardDivFactor":"C9BDB6ABC9BDB6AB","cardNetId":"3701","cardType":"23","cardVer":"51","cpuId":"2505236300114483","etc0015Hex":null,"issuerIdentifier":"山东37010001","spare":null,"userType":"0","vehClass":"12","vlp":"鲁Q676XK","vlpc":"1"},"eTC0019":{"bAppLockFlag":"0","bCompoundAppType":"00","bLaneId":"00","bNetWorkId":"0000","bPassStatus":"00","bRecLen":"00","bStaId":"0000","bVehClass":"0","bVehPassState":"00","bVehPlateColor":"0","bVehWeight":"0","bVexAxis":"0","bWireCode":"000000","dwFeeCardCount":"0","dwPassTime":"1970-01-01 08:00:00","dwWireTime":"1970-01-01 08:00:00","etc0019Hex":null,"szVehPlate":""},"eTCEF01":{"etcef01Hex":null,"vehicleAxle":"0","vehicleAxleDis":"0","vehicleClass":"0","vehicleDes":"","vehicleEngineNumber":"","vehicleLicencePlateColor":"0","vehicleLicencePlateNumber":"","vehicleSeatNum":"0","vehicleSize":"000000000000","vehicleSize_h":"0","vehicleSize_l":"0","vehicleSize_w":"0","vehicleTires":"0","vehicleUserType":"0"},"eTCEF04Info":{"bAppLockFlag":"0","bCompoundAppType":"00","bLaneId":"00","bNetWorkId":"0000","bPassStatus":"00","bRecLen":"00","bStaId":"0000","bVehClass":"0","bVehPassState":"00","bVehPlateColor":"0","bVehWeight":"0","bVexAxis":"0","bWireCode":"000000","cardNetId":"0000","cardType":"0","cardVer":"00","cpuId":"0000000000000000","dealCnt":"0","dwPassTime":"1970-01-01 08:00:00","dwWireTime":"1970-01-01 08:00:00","etcef04InfoHex":null,"issuerIdentifier":"00000000","localProvDealCnt":"0","localProvEntry":"000000","localProvFee":"0","localProvTotalFee":"0","obuErrCnt":"0","proCnt":"0","szVehPlate":"","tollDistance":"0","totalFee":"0","totalMoney":"0","userType":"0","verifyCode":"0000000000000000"},"errorCode":"01","issuerInfo":"C9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010C00000000000000","lEN":null,"lastStation":"00000000000000000000000000000000000000000000000000000000000000000000000000000000000000","macId":"6CD515A0","random":"0000000000000000","readEF04Status":"1","sEQ":null,"serialNumber":"3701015600087963","vehicleInfo":"000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehicleInfoCostTm":"404"}
[2026-05-14 17:00:44.251] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [处理流程|有效性判断] |查询标签是否拆卸 OBU拆卸状态位：0；未拆卸
[2026-05-14 17:00:44.251] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [处理流程|有效性判断] |查询标签是否卡存在 OBU卡存在状态位：0；卡存在
[2026-05-14 17:00:44.251] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [数据交互|发送ETC服务数据] |发送ETC交易受理请求E1成功：FFFF004000000198E109370164331900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006CD515A03701015600087963C9BDB6AB3701000116512025111820351118102001000000000000000000040000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000C9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010C00000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001778749243736010100000237310000000000008F07
[2026-05-14 17:00:44.251] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [处理流程|有效性判断] |B4状态码异常，交易失败
[2026-05-14 17:00:44.255] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [处理流程|车辆交易数据处理] |ME-E1解析结果：{"axleCount":"00","cardDf010019":"AA290037016433196A058F3C00023D730B6A058F3C0000000000000000000000000000FFFFFFFF00000000","cardFee":"00000000","cardType":"23","cmdType":"E1","crc":"2567","discountFee":"00000000","errorCode":"01","fee":"00000000","obuEf04":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","obuEf04Len":"5F","obuMac":"6CD515A0","obuSn":"3701015600087963","plateColor":"00","plateNum":"000000000000000000000000","refuseTime":"00000000","seq":"04","specialType":"0047","specialTypeLen":"000002","specialValue":"0063","specialValueLen":"000002","subCode":"0000","terminalNo":"000000000000","tollLaneHex":"3701643319","totalWeight":"000000","tradeId":"0000000000000000000000000000000000000000000000000000000000000000000000000000","transFlag":"00","transTime":"20260514170044","vId":"0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000","vehicleType":"00","vehicleUserType":"00","vehicleWeightLimits":"000000"}
[2026-05-14 17:00:44.255] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [6CD515A0] [处理流程|交易结果] |交易失败
[2026-05-14 17:00:44.256] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|下发C2帧] |停止交易指令C2的报文已发送:FFFF00800000002CC10000019E25B7836037016433190000000000000000E101010011E101C26CD515A0370101560008796301001953
[2026-05-14 17:00:44.308] [3701643319] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643319/Ask/STDevctl/Display】,QOS 【1】, 内容:{"action":"1","fontColor":"2","fontLine":"0","fontSize":"0","keepTime":"0","msgId":"37016433192026051417585594","sendTime":"2026-05-14T17:00:43","text":"交易失败___"}

[2026-05-14 17:00:44.309] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|收到远程值守服务数据] |接收到MQTT费显控制请求DevCtlDisplayAsk(msgId=37016433192026051417585594, sendTime=2026-05-14T17:00:43, action=1, clearType=null, fontColor=2, fontSize=0, fontLine=0, keepTime=0, text=交易失败___)
[2026-05-14 17:00:44.309] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|收到远程值守服务数据] |费显控制消息(默认控制 费显/后费显)-显示内容：交易失败___
[2026-05-14 17:00:44.309] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|发送信息显示屏模块数据] |信息显示屏指令内容：E6010102000000BDBBD2D7CAA7B0DC5F5F5F, 待显示文本:交易失败___,发送的hex:FFFF00040000002D1B0000019E25B7839537016433190000000000000000E601010012E6010102000000BDBBD2D7CAA7B0DC5F5F5FF4D4
[2026-05-14 17:00:44.312] [3701643319] [INFO] [数据交互|收到信息显示屏模块数据] |信息显示屏数据：FFFF00040000001FB10000019E25B758D4370164331900000000000000000000010004E60101007267
[2026-05-14 17:00:44.312] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [设备信息|E6|信息显示屏|显示屏1] |信息显示屏显示控制成功
[2026-05-14 17:00:44.334] [3701643319] [INFO] [L3701643319T20260514170044250R12430] [数据交互|收到RSU数据] |RSU数据：FFFF00900000004A1C0000019E25B6E71E37016433190000000000000000000001002FE101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFD7000001A8012688
[2026-05-14 17:00:44.334] [3701643319] [INFO] [L3701643319T20260514170044334R12431] [数据交互|收到B2帧] |B2帧原始数据：E101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFD7000001A801
[2026-05-14 17:00:44.334] [3701643319] [INFO] [L3701643319T20260514170044334R12431] [处理流程|帧数据解析] |B2：{"antennaID":"01","bXHex":"E101B26CD515A000C9BDB6AB3701000116513701015600087963202511182035111810200101FFFFFFD7000001A801","cRC":null,"contractType":"16","contractVersion":"51","dateofExpire":"20351118","dateofIssue":"20251118","deviceFuncType":"B2","deviceIndex":"01","deviceType":"E1","equitmentCV":"10","errorCode":"00","issuerIdentifier":"山东37010001","lEN":null,"macId":"6CD515A0","oBUPosition":"FFFFFFD7000001A8","oBUPosition_X":"-41","oBUPosition_Y":"424","oBUStatus":"2001","obuStatus_8":"00100000","positionStatus":"01","sEQ":null,"serialNumber":"3701015600087963"}
[2026-05-14 17:00:44.334] [3701643319] [INFO] [L3701643319T20260514170044334R12431] [6CD515A0] [处理流程|有效性判断] |-------车道hex3701643319,6CD515A0车辆队列校验成功-------
[2026-05-14 17:00:44.334] [3701643319] [INFO] [L3701643319T20260514170044334R12431] [数据交互|下发C1帧] |继续交易指令C1的报文已发送:FFFF009000000034C10000019E25B783AE37016433190000000000000000E101010019E101C16CD515A037010156000879633701015600087963040018FD
[2026-05-14 17:00:44.474] [3701643319] [INFO] [L3701643319T20260514170044334R12431] [数据交互|收到RSU数据] |RSU数据：FFFF00100000015F1C0000019E25B6E7AA370164331900000000000000000000010144E101B46CD515A037010156000879630000000000000000000004C2B351363736584B0000000000010C00232809F60F3C002706001EC8004650024C464E4148554D4D315331453232343635BDE2B7C5C5C643413531383143435950FFFFFFFFFFFFFFFFFFFFFFFFFFFF000000000000000000000000000000000000FFDE653BC9BDB6AB370100011751370125052363001144832025111820351118C2B351363736584B0000000000010CFFFFFFFFFFFFFFAA290037016431026A058BC50C013C72096A058C25C2B351363736584B000000000102003520FF0000009B00AA290037016431026A058BC50C013C72096A058C25C2B351363736584B000000000102003520FFC9BDB6AB3701000117513701250523630011448300010000B600009B000200077F000000000000B60200009B59B043F41034BCDC000000240000003900000013A3D2
